sphnx0508.sdcc.bnl.gov
rsyncing from /gpfs/mnt/gpfs02/sphenix/user/samfred/run25/ppg11/histmaking
running: /gpfs/mnt/gpfs02/sphenix/user/samfred/run25/ppg11/histmaking/script.sh 8 MB
LD_LIBRARY_PATH now /sphenix/user/samfred/run25/install//lib:/cvmfs/sphenix.sdcc.bnl.gov/alma9.2-gcc-14.2.0/opt/sphenix/core/gcc/14.2.0-2f0a0/x86_64-el9/lib:/cvmfs/sphenix.sdcc.bnl.gov/alma9.2-gcc-14.2.0/opt/sphenix/core/gcc/14.2.0-2f0a0/x86_64-el9/lib64:/cvmfs/sphenix.sdcc.bnl.gov/alma9.2-gcc-14.2.0/opt/sphenix/core/binutils/2.40-acaab/x86_64-el9/lib:.:/cvmfs/sphenix.sdcc.bnl.gov/alma9.2-gcc-14.2.0/release/release_new/new.12/lib64:/cvmfs/sphenix.sdcc.bnl.gov/alma9.2-gcc-14.2.0/release/release_new/new.12/lib:/cvmfs/sphenix.sdcc.bnl.gov/alma9.2-gcc-14.2.0/opt/sphenix/utils/lib:/cvmfs/sphenix.sdcc.bnl.gov/alma9.2-gcc-14.2.0/opt/sphenix/core/lib:/cvmfs/sphenix.sdcc.bnl.gov/alma9.2-gcc-14.2.0/opt/sphenix/core/root-6.32.06/lib:/cvmfs/sphenix.sdcc.bnl.gov/alma9.2-gcc-14.2.0/opt/sphenix/core/geant4.10.07.p04/lib64:/cvmfs/sphenix.sdcc.bnl.gov/alma9.2-gcc-14.2.0/opt/sphenix/core/lhapdf-5.9.1/lib:/usr/local/lib64:/usr/lib64
PATH now /sphenix/user/samfred/run25/install//bin:/cvmfs/sphenix.sdcc.bnl.gov/alma9.2-gcc-14.2.0/opt/sphenix/core/gcc/14.2.0-2f0a0/x86_64-el9/bin:/cvmfs/sphenix.sdcc.bnl.gov/alma9.2-gcc-14.2.0/opt/sphenix/core/binutils/2.40-acaab/x86_64-el9/bin:.:/cvmfs/sphenix.sdcc.bnl.gov/alma9.2-gcc-14.2.0/release/release_new/new.12/bin:/cvmfs/sphenix.sdcc.bnl.gov/alma9.2-gcc-14.2.0/opt/sphenix/utils/bin:/cvmfs/sphenix.sdcc.bnl.gov/alma9.2-gcc-14.2.0/opt/sphenix/core/bin:/cvmfs/sphenix.sdcc.bnl.gov/alma9.2-gcc-14.2.0/opt/sphenix/core/root-6.32.06/bin:/cvmfs/sphenix.sdcc.bnl.gov/alma9.2-gcc-14.2.0/opt/sphenix/core/geant4.10.07.p04/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin
runnumber...
8
trigger...
MB
   ------------------------------------------------------------------
  | Welcome to ROOT 6.32.06                        https://root.cern |
  | (c) 1995-2024, The ROOT Team; conception: R. Brun, F. Rademakers |
  | Built for linuxx8664gcc on Dec 13 2024, 17:23:48                 |
  | From tags/6-32-06@6-32-06                                        |
  | With g++ (GCC) 14.2.0                                            |
  | Try '.help'/'.?', '.demo', '.license', '.credits', '.quit'/'.q'  |
   ------------------------------------------------------------------


Processing truthhistmaker_smeartest.C(8,"MB")...
entry 4000/8216337 (0.0486835%)
entry 14000/8216337 (0.170392%)
entry 15000/8216337 (0.182563%)
entry 17000/8216337 (0.206905%)
entry 22000/8216337 (0.267759%)
entry 24000/8216337 (0.292101%)
entry 25000/8216337 (0.304272%)
entry 42000/8216337 (0.511177%)
entry 45000/8216337 (0.547689%)
entry 50000/8216337 (0.608544%)
entry 51000/8216337 (0.620715%)
entry 62000/8216337 (0.754594%)
entry 74000/8216337 (0.900645%)
entry 78000/8216337 (0.949328%)
entry 81000/8216337 (0.985841%)
entry 83000/8216337 (1.01018%)
entry 84000/8216337 (1.02235%)
entry 93000/8216337 (1.13189%)
entry 97000/8216337 (1.18057%)
entry 99000/8216337 (1.20492%)
entry 101000/8216337 (1.22926%)
entry 107000/8216337 (1.30228%)
entry 109000/8216337 (1.32663%)
entry 114000/8216337 (1.38748%)
entry 122000/8216337 (1.48485%)
entry 125000/8216337 (1.52136%)
entry 129000/8216337 (1.57004%)
entry 146000/8216337 (1.77695%)
entry 147000/8216337 (1.78912%)
entry 153000/8216337 (1.86214%)
entry 154000/8216337 (1.87431%)
entry 158000/8216337 (1.923%)
entry 160000/8216337 (1.94734%)
entry 167000/8216337 (2.03254%)
entry 174000/8216337 (2.11773%)
entry 179000/8216337 (2.17859%)
entry 182000/8216337 (2.2151%)
entry 184000/8216337 (2.23944%)
entry 199000/8216337 (2.422%)
entry 204000/8216337 (2.48286%)
entry 211000/8216337 (2.56805%)
entry 212000/8216337 (2.58023%)
entry 215000/8216337 (2.61674%)
entry 216000/8216337 (2.62891%)
entry 219000/8216337 (2.66542%)
entry 222000/8216337 (2.70193%)
entry 226000/8216337 (2.75062%)
entry 229000/8216337 (2.78713%)
entry 233000/8216337 (2.83581%)
entry 235000/8216337 (2.86016%)
entry 236000/8216337 (2.87233%)
entry 239000/8216337 (2.90884%)
entry 242000/8216337 (2.94535%)
entry 244000/8216337 (2.96969%)
entry 246000/8216337 (2.99403%)
entry 249000/8216337 (3.03055%)
entry 250000/8216337 (3.04272%)
entry 255000/8216337 (3.10357%)
entry 258000/8216337 (3.14009%)
entry 261000/8216337 (3.1766%)
entry 263000/8216337 (3.20094%)
entry 264000/8216337 (3.21311%)
entry 269000/8216337 (3.27397%)
entry 271000/8216337 (3.29831%)
entry 274000/8216337 (3.33482%)
entry 277000/8216337 (3.37133%)
entry 278000/8216337 (3.3835%)
entry 283000/8216337 (3.44436%)
entry 285000/8216337 (3.4687%)
entry 287000/8216337 (3.49304%)
entry 295000/8216337 (3.59041%)
entry 297000/8216337 (3.61475%)
entry 300000/8216337 (3.65126%)
entry 302000/8216337 (3.6756%)
entry 303000/8216337 (3.68777%)
entry 304000/8216337 (3.69995%)
entry 308000/8216337 (3.74863%)
entry 314000/8216337 (3.82165%)
entry 319000/8216337 (3.88251%)
entry 326000/8216337 (3.9677%)
entry 331000/8216337 (4.02856%)
entry 333000/8216337 (4.0529%)
entry 336000/8216337 (4.08941%)
entry 337000/8216337 (4.10158%)
entry 338000/8216337 (4.11376%)
entry 346000/8216337 (4.21112%)
entry 351000/8216337 (4.27198%)
entry 353000/8216337 (4.29632%)
entry 355000/8216337 (4.32066%)
entry 361000/8216337 (4.39369%)
entry 363000/8216337 (4.41803%)
entry 366000/8216337 (4.45454%)
entry 369000/8216337 (4.49105%)
entry 371000/8216337 (4.51539%)
entry 374000/8216337 (4.55191%)
entry 377000/8216337 (4.58842%)
entry 380000/8216337 (4.62493%)
entry 381000/8216337 (4.6371%)
entry 384000/8216337 (4.67362%)
entry 389000/8216337 (4.73447%)
entry 392000/8216337 (4.77098%)
entry 395000/8216337 (4.80749%)
entry 399000/8216337 (4.85618%)
entry 402000/8216337 (4.89269%)
entry 405000/8216337 (4.9292%)
entry 410000/8216337 (4.99006%)
entry 419000/8216337 (5.0996%)
entry 428000/8216337 (5.20913%)
entry 437000/8216337 (5.31867%)
entry 438000/8216337 (5.33084%)
entry 445000/8216337 (5.41604%)
entry 446000/8216337 (5.42821%)
entry 450000/8216337 (5.47689%)
entry 451000/8216337 (5.48906%)
entry 455000/8216337 (5.53775%)
entry 469000/8216337 (5.70814%)
entry 483000/8216337 (5.87853%)
entry 488000/8216337 (5.93939%)
entry 489000/8216337 (5.95156%)
entry 490000/8216337 (5.96373%)
entry 492000/8216337 (5.98807%)
entry 496000/8216337 (6.03675%)
entry 501000/8216337 (6.09761%)
entry 505000/8216337 (6.14629%)
entry 508000/8216337 (6.1828%)
entry 520000/8216337 (6.32885%)
entry 528000/8216337 (6.42622%)
entry 534000/8216337 (6.49925%)
entry 535000/8216337 (6.51142%)
entry 540000/8216337 (6.57227%)
entry 542000/8216337 (6.59661%)
entry 544000/8216337 (6.62096%)
entry 553000/8216337 (6.73049%)
entry 555000/8216337 (6.75483%)
entry 556000/8216337 (6.76701%)
entry 557000/8216337 (6.77918%)
entry 565000/8216337 (6.87654%)
entry 569000/8216337 (6.92523%)
entry 573000/8216337 (6.97391%)
entry 575000/8216337 (6.99825%)
entry 579000/8216337 (7.04694%)
entry 583000/8216337 (7.09562%)
entry 584000/8216337 (7.10779%)
entry 587000/8216337 (7.1443%)
entry 592000/8216337 (7.20516%)
entry 593000/8216337 (7.21733%)
entry 596000/8216337 (7.25384%)
entry 598000/8216337 (7.27818%)
entry 603000/8216337 (7.33904%)
entry 608000/8216337 (7.39989%)
